Wavelength;Response
820.0322; 0.01
822.0051; 0.01692
824.0037; 0.03107
826.9963; 0.07441
828.9936; 0.115
831.9895; 0.19512
833.9851; 0.25955
836.9896; 0.39759
838.9948; 0.52634
841.9997; 0.70915
844.0025; 0.82138
846.9965; 0.9163
848.9913; 0.94739
851.9867; 0.98529
854.0024; 0.9908
856.9861; 1
858.9886; 0.97942
861.9994; 0.97466
863.9938; 0.94204
867.0015; 0.89802
868.9833; 0.84825
871.9843; 0.78591
873.9937; 0.70113
877.0067; 0.43634
878.9906; 0.24993
881.9873; 0.10807
884.0002; 0.06845
886.9988; 0.04148
888.9841; 0.03264
891.9924; 0.02387
893.9979; 0.01956
896.9948; 0.01413
898.9871; 0.01038









