Wavelength;Response
1212.5487; 0.01
1213.2175; 0.01117
1214.7279; 0.01608
1216.1934; 0.02492
1217.7188; 0.03818
1219.1992; 0.04862
1220.687; 0.06678
1222.1819; 0.10054
1223.6831; 0.15332
1225.1902; 0.20849
1226.7018; 0.26656
1228.217; 0.37011
1229.6803; 0.4973
1231.1991; 0.58289
1232.7174; 0.64709
1234.1801; 0.77753
1235.694; 0.88235
1237.2037; 0.88284
1238.7084; 0.92946
1240.2068; 0.97872
1241.698; 0.98165
1243.1819; 0.97627
1244.7103; 1
1246.1779; 0.9737
1247.6896; 0.95036
1249.1931; 0.86217
1250.6893; 0.73183
1252.1791; 0.54895
1253.7145; 0.46245
1255.1946; 0.36557
1256.7229; 0.21247
1258.1991; 0.12525
1259.7267; 0.09942
1261.2052; 0.0814
1262.687; 0.05129
1264.2249; 0.0294
1265.7173; 0.02298
1267.2163; 0.02075
1268.7227; 0.01682
1270.1844; 0.01002
1270.1924; 0.01











