Wavelength;Response
613.3005; 0.01
614.9855; 0.02493
617.9669; 0.16273
619.9886; 0.38225
622.9658; 0.68988
624.9765; 0.7566
627.9829; 0.76827
629.9695; 0.77672
632.9832; 0.78309
634.9731; 0.7891
637.9685; 0.80269
639.969; 0.81505
642.9802; 0.84169
644.9682; 0.86649
647.9722; 0.90927
649.9854; 0.92262
652.9899; 0.96667
654.967; 0.98803
657.976; 1
659.9895; 0.96444
662.9664; 0.809
664.9664; 0.72312
667.974; 0.54417
669.9767; 0.39111
672.9728; 0.17707
674.9848; 0.09278
677.9862; 0.03173
679.9808; 0.0149
681.4409; 0.01








