Wavelength;Response
451.3119; 0.01
451.7058; 0.01243
452.6856; 0.02624
453.6964; 0.06454
454.709; 0.15154
455.6937; 0.3041
456.7053; 0.5185
457.6863; 0.72689
458.6915; 0.89583
459.6916; 0.9816
460.6858; 1
461.7009; 0.96587
462.7087; 0.92312
463.7095; 0.89256
464.7036; 0.8892
465.6919; 0.89065
466.702; 0.8988
467.7087; 0.9132
468.687; 0.94288
469.6917; 0.96681
470.6979; 0.96864
471.7074; 0.94372
472.6948; 0.88415
473.6877; 0.77916
474.6868; 0.64182
475.6927; 0.46936
476.7053; 0.30095
477.6967; 0.16503
478.6936; 0.07695
479.695; 0.03263
480.6998; 0.01391
481.2391; 0.01









