Wavelength;Response
1595.4365; 0.01
1596.1855; 0.01143
1598.1567; 0.01727
1600.1655; 0.02786
1602.1594; 0.04333
1604.187; 0.07581
1606.1495; 0.11915
1608.1465; 0.175
1610.1787; 0.2546
1612.1523; 0.34169
1614.1677; 0.46266
1616.1804; 0.60836
1618.1469; 0.70012
1620.1669; 0.78652
1622.1479; 0.87498
1624.1895; 1
1626.1469; 0.98511
1628.1678; 0.95914
1630.1534; 0.91865
1632.1517; 0.84853
1634.1611; 0.79107
1636.1791; 0.74123
1638.1515; 0.66957
1640.1764; 0.60807
1642.1488; 0.48281
1644.1665; 0.33299
1646.1754; 0.22543
1648.1729; 0.17788
1650.1565; 0.14214
1652.1741; 0.09009
1654.1755; 0.04029
1656.1611; 0.02323
1658.1805; 0.01823
1660.1877; 0.01529
1662.186; 0.0119
1662.9935; 0.01












