Wavelength;Response
629.289; 0
629.549; 0.00001
629.809; 0.00003
630.068; 0.00009
630.328; 0.00021
630.588; 0.00034
630.847; 0.00042
631.107; 0.00051
631.367; 0.00067
631.626; 0.00058
631.886; 0.00072
632.146; 0.00089
632.405; 0.00101
632.665; 0.00112
632.925; 0.00116
633.185; 0.0013
633.444; 0.0016
633.704; 0.00179
633.964; 0.00191
634.223; 0.00205
634.483; 0.00223
634.743; 0.00233
635.002; 0.00257
635.262; 0.0027
635.522; 0.00317
635.781; 0.00344
636.041; 0.00368
636.301; 0.00412
636.56; 0.00442
636.82; 0.00468
637.08; 0.00515
637.339; 0.00563
637.599; 0.00596
637.859; 0.00653
638.118; 0.00701
638.378; 0.0075
638.638; 0.00812
638.897; 0.0089
639.157; 0.0098
639.417; 0.01066
639.677; 0.01168
639.936; 0.01272
640.196; 0.014
640.456; 0.01547
640.715; 0.01687
640.975; 0.01862
641.235; 0.02077
641.494; 0.02293
641.754; 0.02518
642.014; 0.02793
642.273; 0.03134
642.533; 0.0347
642.793; 0.03864
643.052; 0.04313
643.312; 0.04835
643.572; 0.05393
643.831; 0.06026
644.091; 0.06707
644.351; 0.07489
644.61; 0.08395
644.87; 0.09315
645.13; 0.10392
645.389; 0.11581
645.649; 0.12813
645.909; 0.14275
646.169; 0.15755
646.428; 0.17432
646.688; 0.19208
646.948; 0.21188
647.207; 0.23045
647.467; 0.2537
647.727; 0.27831
647.986; 0.30596
648.246; 0.32921
648.506; 0.35895
648.765; 0.38716
649.025; 0.41832
649.285; 0.44847
649.544; 0.48226
649.804; 0.51087
650.064; 0.53991
650.323; 0.56766
650.583; 0.59197
650.843; 0.61512
651.102; 0.63926
651.362; 0.66095
651.622; 0.68246
651.881; 0.7014
652.141; 0.71982
652.401; 0.74128
652.661; 0.75814
652.92; 0.77615
653.18; 0.79392
653.44; 0.80825
653.699; 0.82689
653.959; 0.84214
654.219; 0.85312
654.478; 0.87056
654.738; 0.88013
654.998; 0.89568
655.257; 0.90863
655.517; 0.91931
655.777; 0.92943
656.036; 0.94287
656.296; 0.95232
656.556; 0.96241
656.815; 0.97159
657.075; 0.97711
657.335; 0.9822
657.594; 0.9856
657.854; 0.99326
658.114; 0.99349
658.373; 0.99731
658.633; 0.99961
658.893; 0.99981
659.153; 1
659.412; 0.99628
659.672; 0.99543
659.932; 0.99232
660.191; 0.99422
660.451; 0.98959
660.711; 0.98451
660.97; 0.97942
661.23; 0.97636
661.49; 0.9727
661.749; 0.96509
662.009; 0.96218
662.269; 0.95949
662.528; 0.95265
662.788; 0.94508
663.048; 0.93997
663.307; 0.93108
663.567; 0.92955
663.827; 0.92275
664.086; 0.91927
664.346; 0.91174
664.606; 0.90703
664.865; 0.89933
665.125; 0.89028
665.385; 0.88368
665.645; 0.87385
665.904; 0.86464
666.164; 0.85302
666.424; 0.83907
666.683; 0.82434
666.943; 0.80813
667.203; 0.78836
667.462; 0.76657
667.722; 0.74592
667.982; 0.71919
668.241; 0.68978
668.501; 0.6606
668.761; 0.62891
669.02; 0.59768
669.28; 0.56704
669.54; 0.53294
669.799; 0.50115
670.059; 0.46868
670.319; 0.43685
670.578; 0.40628
670.838; 0.37381
671.098; 0.34596
671.357; 0.31746
671.617; 0.29087
671.877; 0.26639
672.137; 0.2438
672.396; 0.22156
672.656; 0.20271
672.916; 0.18387
673.175; 0.16866
673.435; 0.15268
673.695; 0.13997
673.954; 0.12734
674.214; 0.11622
674.474; 0.1056
674.733; 0.09684
674.993; 0.08884
675.253; 0.08162
675.512; 0.07536
675.772; 0.06941
676.032; 0.06453
676.291; 0.05964
676.551; 0.05519
676.811; 0.05105
677.07; 0.04749
677.33; 0.04407
677.59; 0.04082
677.849; 0.03812
678.109; 0.03537
678.369; 0.03297
678.629; 0.03084
678.888; 0.0291
679.148; 0.02732
679.408; 0.0257
679.667; 0.02426
679.927; 0.02295
680.187; 0.02156
680.446; 0.02024
680.706; 0.01914
680.966; 0.01806
681.225; 0.01695
681.485; 0.01589
681.745; 0.0152
682.004; 0.01437
682.264; 0.01351
682.524; 0.01276
682.783; 0.01213
683.043; 0.01148
683.303; 0.01091
683.562; 0.01034
683.822; 0.00995
684.082; 0.00941
684.341; 0.00884
684.601; 0.00841
684.861; 0.00798
685.121; 0.0075
685.38; 0.00709
685.64; 0.00685
685.9; 0.00653
686.159; 0.00616
686.419; 0.00571
686.679; 0.00562
686.938; 0.00528
687.198; 0.00489
687.458; 0.00473
687.717; 0.00454
687.977; 0.00427
688.237; 0.00407
688.496; 0.00391
688.756; 0.00355
689.016; 0.00341
689.275; 0.00326
689.535; 0.00312
689.795; 0.00274
690.054; 0.00259
690.314; 0.0024
690.574; 0.00232
690.833; 0.00224
691.093; 0.00213
691.353; 0.00203
691.613; 0.00187
691.872; 0.00169
692.132; 0.00161
692.392; 0.00149
692.651; 0.00134
692.911; 0.00127
693.171; 0.00115
693.43; 0.00102
693.69; 0.00093
693.95; 0.00082
694.209; 0.00085
694.469; 0.00082
694.729; 0.00062
694.988; 0.0006
695.248; 0.00057
