Wavelength;Response
835.00; 0.00016
835.50; 0.00009
836.00; 0.00012
836.50; 0.00016
837.00; 0.00021
837.50; 0.00025
838.00; 0.0003
838.50; 0.00036
839.00; 0.00045
839.50; 0.00056
840.00; 0.00067
840.50; 0.0009
841.00; 0.00107
841.50; 0.00129
842.00; 0.00158
842.50; 0.00189
843.00; 0.00233
843.50; 0.00288
844.00; 0.00351
844.50; 0.00437
845.00; 0.00548
845.50; 0.0067
846.00; 0.00861
846.50; 0.01117
847.00; 0.01393
847.50; 0.01834
848.00; 0.02418
848.50; 0.03094
849.00; 0.0418
849.50; 0.0568
850.00; 0.07392
850.50; 0.10232
851.00; 0.14146
851.50; 0.187
852.00; 0.26077
852.50; 0.35842
853.00; 0.45688
853.50; 0.58996
854.00; 0.7189
854.50; 0.81722
855.00; 0.9069
855.50; 0.96475
856.00; 0.98816
856.50; 1
857.00; 0.9966
857.50; 0.99133
858.00; 0.97975
858.50; 0.97107
859.00; 0.96126
859.50; 0.95434
860.00; 0.94577
860.50; 0.94158
861.00; 0.93505
861.50; 0.93183
862.00; 0.92689
862.50; 0.92463
863.00; 0.91983
863.50; 0.9185
864.00; 0.9135
864.50; 0.91176
865.00; 0.90526
865.50; 0.90078
866.00; 0.89163
866.50; 0.88361
867.00; 0.87089
867.50; 0.85779
868.00; 0.84362
868.50; 0.82944
869.00; 0.81246
869.50; 0.80246
870.00; 0.78938
870.50; 0.78275
871.00; 0.77654
871.50; 0.77696
872.00; 0.77592
872.50; 0.77842
873.00; 0.77292
873.50; 0.7568
874.00; 0.7253
874.50; 0.6623
875.00; 0.57362
875.50; 0.48721
876.00; 0.37919
876.50; 0.2849
877.00; 0.21813
877.50; 0.15699
878.00; 0.11311
878.50; 0.08589
879.00; 0.06205
879.50; 0.04569
880.00; 0.03542
880.50; 0.02648
881.00; 0.0201
881.50; 0.01602
882.00; 0.01229
882.50; 0.00957
883.00; 0.00777
883.50; 0.00619
884.00; 0.00497
884.50; 0.00416
885.00; 0.00337
885.50; 0.00277
886.00; 0.00235
886.50; 0.00196
887.00; 0.00165
887.50; 0.0014
888.00; 0.00118
888.50; 0.00099
889.00; 0.00088
889.50; 0.00074
890.00; 0.00065
890.50; 0.00056
891.00; 0.00051
891.50; 0.00042
892.00; 0.00038
892.50; 0.00033
893.00; 0.0003
893.50; 0.00028
894.00; 0.00023
894.50; 0.00021
895.00; 0.00017
