Wavelength;Response
2967.10; 0
2973.35; 0
2979.60; 0
2985.85; 0
2992.10; 0
2998.35; 0
3004.60; 0
3010.85; 0
3017.10; 0
3023.35; 0
3029.60; 0
3035.85; 0
3042.10; 0
3048.35; 0
3054.60; 0
3060.85; 0
3067.10; 0
3073.35; 0.001
3079.60; 0
3085.84; -0.00001
3092.10; 0.001
3098.35; 0.001
3104.60; 0.001
3110.85; 0.001
3117.10; 0.001
3123.35; 0.001
3129.60; 0.001
3135.85; 0.001
3142.10; 0.001
3148.35; 0
3154.60; 0.001
3160.85; 0.001
3167.10; 0.001
3173.35; 0.001
3179.60; 0.001
3185.85; 0.00099
3192.10; 0.002
3198.35; 0.002
3204.60; 0.002
3210.85; 0.002
3217.10; 0.002
3223.35; 0.002
3229.60; 0.002
3235.85; 0.00299
3242.10; 0.003
3248.35; 0.003
3254.60; 0.003
3260.85; 0.004
3267.10; 0.004
3273.35; 0.00499
3279.60; 0.005
3285.85; 0.00499
3292.10; 0.006
3298.35; 0.006
3304.60; 0.007
3310.85; 0.00799
3317.10; 0.009
3323.34; 0.00999
3329.59; 0.011
3335.84; 0.01397
3342.09; 0.016
3348.34; 0.01797
3354.59; 0.022
3360.84; 0.02497
3367.09; 0.02899
3373.34; 0.03495
3379.59; 0.03999
3385.84; 0.04792
3392.09; 0.05699
3398.34; 0.06689
3404.59; 0.08098
3410.84; 0.09685
3417.09; 0.11498
3423.34; 0.13679
3429.59; 0.16197
3435.84; 0.19272
3442.09; 0.22296
3448.34; 0.25766
3454.59; 0.29595
3460.84; 0.3356
3467.09; 0.38294
3473.34; 0.43649
3479.59; 0.49093
3485.84; 0.5425
3492.09; 0.59893
3498.34; 0.65444
3504.59; 0.71692
3510.84; 0.77248
3517.09; 0.82893
3523.34; 0.87858
3529.59; 0.91994
3535.84; 0.95574
3542.09; 0.97597
3548.34; 0.99387
3554.59; 1
3560.84; 0.99608
3567.09; 0.98502
3573.34; 0.97016
3579.59; 0.94904
3585.84; 0.91828
3592.09; 0.89005
3598.34; 0.85924
3604.59; 0.84103
3610.84; 0.82119
3617.09; 0.80502
3623.34; 0.79605
3629.59; 0.793
3635.84; 0.79104
3642.09; 0.78601
3648.34; 0.78599
3654.59; 0.787
3660.84; 0.788
3667.09; 0.78899
3673.34; 0.79597
3679.59; 0.795
3685.84; 0.79703
3692.09; 0.78702
3698.34; 0.77706
3704.59; 0.77401
3710.84; 0.76906
3717.09; 0.76201
3723.34; 0.75309
3729.59; 0.74501
3735.84; 0.74496
3742.09; 0.75099
3748.34; 0.75501
3754.59; 0.74902
3760.84; 0.73911
3767.09; 0.72702
3773.34; 0.71903
3779.59; 0.72
3785.84; 0.71998
3792.09; 0.72399
3798.34; 0.72698
3804.59; 0.728
3810.84; 0.72901
3817.09; 0.72402
3823.34; 0.71309
3829.59; 0.70801
3835.84; 0.70207
3842.09; 0.69402
3848.34; 0.68212
3854.59; 0.67102
3860.84; 0.65816
3867.09; 0.64005
3873.34; 0.61724
3879.59; 0.59306
3885.84; 0.5653
3892.09; 0.53507
3898.34; 0.50236
3904.59; 0.46509
3910.84; 0.42346
3917.09; 0.37611
3923.34; 0.32948
3929.59; 0.2841
3935.84; 0.24143
3942.09; 0.20209
3948.34; 0.16833
3954.59; 0.13906
3960.84; 0.11522
3967.09; 0.09604
3973.34; 0.08015
3979.58; 0.06803
3985.83; 0.0581
3992.08; 0.05002
3998.33; 0.04406
4004.58; 0.03801
4010.83; 0.03404
4017.08; 0.03101
4023.33; 0.02902
4029.58; 0.027
4035.83; 0.02601
4042.08; 0.025
4048.33; 0.02401
4054.58; 0.023
4060.83; 0.022
4067.08; 0.022
4073.33; 0.02101
4079.58; 0.021
4085.83; 0.02001
4092.08; 0.02
4098.33; 0.01902
4104.58; 0.018
4110.83; 0.01801
4117.08; 0.01601
4123.33; 0.01501
4129.58; 0.014
4135.83; 0.01202
4142.08; 0.011
4148.33; 0.00902
4154.58; 0.008
4160.83; 0.00701
4167.08; 0.006
4173.33; 0.00501
4179.58; 0.004
4185.83; 0.004
4192.08; 0.003
4198.33; 0.002
4204.58; 0.002
4210.83; 0.00101
4217.08; 0.001
4223.33; 0.00101
4229.58; 0
4235.83; 0
4242.08; 0
4248.33; 0
4254.58; 0
4260.83; 0
4267.08; 0
4273.33; 0
4279.58; 0
4285.83; 0
4292.08; 0
4298.33; 0.001
4304.58; 0
4310.83; 0.00099
4317.08; 0.001
4323.33; 0.001
4329.58; 0.001
4335.83; 0.001
4342.08; 0.001
4348.33; 0.001
4354.58; 0.001
4360.83; 0.00101
