Wavelength;Reflectance;Sigma
577.00000;0.231714;0.02
578.00000;0.234144;0.02
579.00000;0.23258;0.02
580.00000;0.240021;0.02
581.00000;0.247554;0.02
582.00000;0.249649;0.02
583.00000;0.259051;0.02
584.00000;0.257002;0.02
585.00000;0.260423;0.02
586.00000;0.264061;0.02
587.00000;0.260507;0.02
588.00000;0.262809;0.02
589.00000;0.259627;0.02
590.00000;0.262909;0.02
591.00000;0.270645;0.02
592.00000;0.271524;0.02
593.00000;0.278057;0.02
594.00000;0.275363;0.02
595.00000;0.277098;0.02
596.00000;0.284341;0.02
597.00000;0.280185;0.02
598.00000;0.283254;0.02
599.00000;0.28822;0.02
600.00000;0.287149;0.02
601.00000;0.299103;0.02
602.00000;0.297109;0.02
603.00000;0.306656;0.02
604.00000;0.302048;0.02
605.00000;0.305196;0.02
606.00000;0.309055;0.02
607.00000;0.30961;0.02
608.00000;0.319531;0.02
609.00000;0.317803;0.02
610.00000;0.316356;0.02
611.00000;0.318016;0.02
612.00000;0.325702;0.02
613.00000;0.323947;0.02
614.00000;0.328577;0.02
615.00000;0.328788;0.02
616.00000;0.331137;0.02
617.00000;0.339229;0.02
618.00000;0.335127;0.02
619.00000;0.336744;0.02
620.00000;0.334842;0.02
621.00000;0.341792;0.02
622.00000;0.338674;0.02
623.00000;0.344031;0.02
624.00000;0.341296;0.02
625.00000;0.343836;0.02
626.00000;0.342504;0.02
627.00000;0.3453;0.02
628.00000;0.31453;0.02
629.00000;0.336522;0.02
630.00000;0.340008;0.02
631.00000;0.3419;0.02
632.00000;0.343637;0.02
633.00000;0.346312;0.02
634.00000;0.353354;0.02
635.00000;0.354125;0.02
636.00000;0.358418;0.02
637.00000;0.363766;0.02
638.00000;0.369311;0.02
639.00000;0.374197;0.02
640.00000;0.378037;0.02
641.00000;0.37639;0.02
642.00000;0.374782;0.02
643.00000;0.376022;0.02
644.00000;0.3822;0.02
645.00000;0.378104;0.02
646.00000;0.373522;0.02
647.00000;0.378207;0.02
648.00000;0.367018;0.02
649.00000;0.377263;0.02
650.00000;0.385539;0.02
651.00000;0.384189;0.02
652.00000;0.379046;0.02
653.00000;0.385504;0.02
654.00000;0.389315;0.02
655.00000;0.390296;0.02
656.00000;0.390115;0.02
657.00000;0.400629;0.02
658.00000;0.403872;0.02
659.00000;0.404543;0.02
660.00000;0.407082;0.02
661.00000;0.404425;0.02
662.00000;0.410875;0.02
663.00000;0.414446;0.02
664.00000;0.412667;0.02
665.00000;0.411019;0.02
666.00000;0.414971;0.02
667.00000;0.413836;0.02
668.00000;0.417149;0.02
669.00000;0.42057;0.02
670.00000;0.419625;0.02
671.00000;0.424718;0.02
672.00000;0.421442;0.02
673.00000;0.421343;0.02
674.00000;0.420936;0.02
675.00000;0.426334;0.02
676.00000;0.428386;0.02
677.00000;0.429913;0.02
678.00000;0.432735;0.02
679.00000;0.440215;0.02
680.00000;0.437936;0.02
681.00000;0.434044;0.02
682.00000;0.441172;0.02
683.00000;0.433723;0.02
684.00000;0.440682;0.02
685.00000;0.442033;0.02
686.00000;0.439598;0.02
687.00000;0.338577;0.02
688.00000;0.359959;0.02
689.00000;0.357049;0.02
690.00000;0.367852;0.02
691.00000;0.395146;0.02
692.00000;0.40938;0.02
693.00000;0.413923;0.02
694.00000;0.413499;0.02
695.00000;0.422006;0.02
696.00000;0.424313;0.02
697.00000;0.444003;0.02
698.00000;0.434607;0.02
699.00000;0.424217;0.02
700.00000;0.439268;0.02
701.00000;0.435183;0.02
702.00000;0.435918;0.02
703.00000;0.448531;0.02
704.00000;0.444695;0.02
705.00000;0.446235;0.02
706.00000;0.449175;0.02
707.00000;0.455139;0.02
708.00000;0.451842;0.02
709.00000;0.458632;0.02
710.00000;0.451473;0.02
711.00000;0.458304;0.02
712.00000;0.466378;0.02
713.00000;0.462391;0.02
714.00000;0.459652;0.02
715.00000;0.45674;0.02
716.00000;0.449849;0.02
717.00000;0.426455;0.02
718.00000;0.414036;0.02
719.00000;0.412419;0.02
720.00000;0.397576;0.02
721.00000;0.434983;0.02
722.00000;0.454439;0.02
723.00000;0.447013;0.02
724.00000;0.419816;0.02
725.00000;0.426724;0.02
726.00000;0.430305;0.02
727.00000;0.426177;0.02
728.00000;0.428542;0.02
729.00000;0.437841;0.02
730.00000;0.435434;0.02
731.00000;0.434037;0.02
732.00000;0.447238;0.02
733.00000;0.464481;0.02
734.00000;0.468866;0.02
735.00000;0.468073;0.02
736.00000;0.462195;0.02
737.00000;0.469675;0.02
738.00000;0.475299;0.02
739.00000;0.474695;0.02
740.00000;0.484411;0.02
741.00000;0.482779;0.02
742.00000;0.489216;0.02
743.00000;0.493645;0.02
744.00000;0.494762;0.02
745.00000;0.494428;0.02
746.00000;0.501276;0.02
747.00000;0.492552;0.02
748.00000;0.493929;0.02
749.00000;0.497013;0.02
750.00000;0.496832;0.02
751.00000;0.499076;0.02
752.00000;0.494494;0.02
753.00000;0.499763;0.02
754.00000;0.500513;0.02
755.00000;0.495095;0.02
756.00000;0.495977;0.02
757.00000;0.503154;0.02
758.00000;0.496514;0.02
759.00000;0.431579;0.02
