Wavelength;Response
665.7759; 0.01
665.7874; 0.01006
666.481; 0.01582
667.1486; 0.02596
667.8433; 0.04284
668.5107; 0.06908
669.2042; 0.11265
669.8699; 0.17159
670.5604; 0.25034
671.2224; 0.33822
671.9081; 0.44095
672.5911; 0.5479
673.2708; 0.66636
673.9473; 0.77852
674.6204; 0.8716
675.3156; 0.92415
675.9818; 0.95377
676.6702; 0.97678
677.3555; 0.99497
678.0381; 1
678.7186; 0.99955
679.3972; 0.98597
680.0745; 0.93479
680.7512; 0.85274
681.4279; 0.76712
682.1052; 0.681
682.7836; 0.58873
683.4636; 0.48296
684.1458; 0.35373
684.8306; 0.21482
685.5184; 0.11166
686.1837; 0.05653
686.8776; 0.02951
687.5493; 0.01676
688.2239; 0.01039
688.2961; 0.01

