Wavelength;Response
519.8829; 0.01
520.0789; 0.01208
520.6841; 0.02698
521.2877; 0.05643
521.8901; 0.10483
522.4918; 0.17457
523.093; 0.26785
523.668; 0.37874
524.2695; 0.51418
524.8717; 0.65648
525.475; 0.79077
526.0796; 0.90076
526.6859; 0.96916
527.2942; 0.99071
527.8781; 0.98666
528.4909; 0.98306
529.0793; 0.9882
529.6701; 0.99477
530.2903; 1
530.8859; 0.99728
531.4838; 0.9814
532.0837; 0.95512
532.6857; 0.9177
533.2895; 0.87284
533.8948; 0.82143
534.4738; 0.7649
535.0814; 0.69366
535.6896; 0.60268
536.2705; 0.49617
536.8791; 0.37305
537.4874; 0.24834
538.0675; 0.14998
538.6743; 0.08118
539.2798; 0.04241
539.8838; 0.02282
540.486; 0.01283
540.8139; 0.01
