Wavelength;Response
851.000 ; 0.00852831
851.500 ; 0.0113309
852.000 ; 0.0163138
852.500 ; 0.0222333
853.000 ; 0.0318521
853.500 ; 0.0428799
854.000 ; 0.0594104
854.500 ; 0.0775685
855.000 ; 0.103636
855.500 ; 0.132225
856.000 ; 0.171303
856.500 ; 0.212476
857.000 ; 0.263554
857.500 ; 0.316480
858.000 ; 0.376654
858.500 ; 0.437851
859.000 ; 0.503681
859.500 ; 0.569893
860.000 ; 0.637653
860.500 ; 0.703105
861.000 ; 0.759584
861.500 ; 0.815267
862.000 ; 0.867727
862.500 ; 0.915920
863.000 ; 0.944230
863.500 ; 0.970288
864.000 ; 0.986683
864.500 ; 0.999207
865.000 ; 0.994985
865.500 ; 0.988581
866.000 ; 0.971858
866.500 ; 0.958526
867.000 ; 0.958654
867.500 ; 0.956847
868.000 ; 0.945750
868.500 ; 0.935405
869.000 ; 0.928273
869.500 ; 0.918928
870.000 ; 0.901192
870.500 ; 0.882542
871.000 ; 0.859794
871.500 ; 0.835009
872.000 ; 0.799877
872.500 ; 0.767152
873.000 ; 0.743658
873.500 ; 0.716987
874.000 ; 0.674285
874.500 ; 0.627795
875.000 ; 0.564946
875.500 ; 0.497722
876.000 ; 0.410457
876.500 ; 0.324184
877.000 ; 0.242235
877.500 ; 0.166118
878.000 ; 0.120173
878.500 ; 0.0793906
879.000 ; 0.0596759
879.500 ; 0.0420748
880.000 ; 0.0332435
880.500 ; 0.0252224
881.000 ; 0.0205085
881.500 ; 0.0162145
882.000 ; 0.0135941
882.500 ; 0.0111529


