Wavelength;Response
400.000 ; 0.00484710
400.500 ; 0.00817289
401.000 ; 0.0114987
401.500 ; 0.0283895
402.000 ; 0.0559124
402.500 ; 0.0834352
403.000 ; 0.158800
403.500 ; 0.236430
404.000 ; 0.317323
404.500 ; 0.403984
405.000 ; 0.490645
405.500 ; 0.530630
406.000 ; 0.553263
406.500 ; 0.574129
407.000 ; 0.581819
407.500 ; 0.589509
408.000 ; 0.612861
408.500 ; 0.650079
409.000 ; 0.687298
409.500 ; 0.714055
410.000 ; 0.740443
410.500 ; 0.737436
411.000 ; 0.670148
411.500 ; 0.602860
412.000 ; 0.542659
412.500 ; 0.485028
413.000 ; 0.456500
413.500 ; 0.574815
414.000 ; 0.693131
414.500 ; 0.799626
415.000 ; 0.896396
415.500 ; 0.993166
416.000 ; 0.997084
416.500 ; 0.993946
417.000 ; 0.961460
417.500 ; 0.875503
418.000 ; 0.789547
418.500 ; 0.670486
419.000 ; 0.541212
419.500 ; 0.415348
420.000 ; 0.308159
420.500 ; 0.200969
421.000 ; 0.127613
421.500 ; 0.0852398
422.000 ; 0.0428671
422.500 ; 0.0294114
423.000 ; 0.0183876
423.500 ; 0.0102770
