Wavelength;Response
922.500 ; 0.00554264
923.000 ; 0.0118274
923.500 ; 0.0181122
924.000 ; 0.0271035
924.500 ; 0.0400404
925.000 ; 0.0572451
925.500 ; 0.0802809
926.000 ; 0.108460
926.500 ; 0.144146
927.000 ; 0.185588
927.500 ; 0.235607
928.000 ; 0.290031
928.500 ; 0.350965
929.000 ; 0.414409
929.500 ; 0.481498
930.000 ; 0.549605
930.500 ; 0.619178
931.000 ; 0.686496
931.500 ; 0.750513
932.000 ; 0.810268
932.500 ; 0.864524
933.000 ; 0.909730
933.500 ; 0.941847
934.000 ; 0.965256
934.500 ; 0.976258
935.000 ; 0.985827
935.500 ; 0.993255
936.000 ; 0.998069
936.500 ; 0.999300
937.000 ; 0.996303
937.500 ; 0.987721
938.000 ; 0.978449
938.500 ; 0.968262
939.000 ; 0.953896
939.500 ; 0.933822
940.000 ; 0.904483
940.500 ; 0.861955
941.000 ; 0.813413
941.500 ; 0.755991
942.000 ; 0.692602
942.500 ; 0.620278
943.000 ; 0.547773
943.500 ; 0.475003
944.000 ; 0.404097
944.500 ; 0.335732
945.000 ; 0.271141
945.500 ; 0.212019
946.000 ; 0.159045
946.500 ; 0.114905
947.000 ; 0.0788080
947.500 ; 0.0533982
948.000 ; 0.0339150
948.500 ; 0.0226431
949.000 ; 0.0140531
949.500 ; 0.00910702





