Wavelength;Response
1212.00 ; 0.00904013
1212.50 ; 0.00991480
1213.00 ; 0.0107895
1213.50 ; 0.0120883
1214.00 ; 0.0137137
1214.50 ; 0.0153391
1215.00 ; 0.0177213
1215.50 ; 0.0207375
1216.00 ; 0.0237536
1216.50 ; 0.0275856
1217.00 ; 0.0319320
1217.50 ; 0.0362784
1218.00 ; 0.0401633
1218.50 ; 0.0436892
1219.00 ; 0.0472151
1219.50 ; 0.0522913
1220.00 ; 0.0583943
1220.50 ; 0.0644973
1221.00 ; 0.0738485
1221.50 ; 0.0851404
1222.00 ; 0.0964323
1222.50 ; 0.111724
1223.00 ; 0.129303
1223.50 ; 0.146882
1224.00 ; 0.164921
1224.50 ; 0.183224
1225.00 ; 0.201528
1225.50 ; 0.220392
1226.00 ; 0.239600
1226.50 ; 0.258808
1227.00 ; 0.286940
1227.50 ; 0.321109
1228.00 ; 0.355278
1228.50 ; 0.394706
1229.00 ; 0.438167
1229.50 ; 0.481628
1230.00 ; 0.515316
1230.50 ; 0.543493
1231.00 ; 0.571670
1231.50 ; 0.595613
1232.00 ; 0.616755
1232.50 ; 0.637897
1233.00 ; 0.672292
1233.50 ; 0.716882
1234.00 ; 0.761473
1234.50 ; 0.799682
1235.00 ; 0.834301
1235.50 ; 0.868920
1236.00 ; 0.882449
1236.50 ; 0.882612
1237.00 ; 0.882774
1237.50 ; 0.892020
1238.00 ; 0.907512
1238.50 ; 0.923004
1239.00 ; 0.939047
1239.50 ; 0.955485
1240.00 ; 0.971922
1240.50 ; 0.979296
1241.00 ; 0.980279
1241.50 ; 0.981261
1242.00 ; 0.980555
1242.50 ; 0.978742
1243.00 ; 0.976929
1243.50 ; 0.981209
1244.00 ; 0.988972
1244.50 ; 0.996735
1245.00 ; 0.994809
1245.50 ; 0.985848
1246.00 ; 0.976887
1246.50 ; 0.968726
1247.00 ; 0.961007
1247.50 ; 0.953287
1248.00 ; 0.932152
1248.50 ; 0.902825
1249.00 ; 0.873497
1249.50 ; 0.835436
1250.00 ; 0.791880
1250.50 ; 0.748323
1251.00 ; 0.693693
1251.50 ; 0.632313
1252.00 ; 0.570933
1252.50 ; 0.530870
1253.00 ; 0.502702
1253.50 ; 0.474533
1254.00 ; 0.443761
1254.50 ; 0.411034
1255.00 ; 0.378306
1255.50 ; 0.334974
1256.00 ; 0.284887
1256.50 ; 0.234799
1257.00 ; 0.196098
1257.50 ; 0.166556
1258.00 ; 0.137013
1258.50 ; 0.120162
1259.00 ; 0.111708
1259.50 ; 0.103253
1260.00 ; 0.0960889
1260.50 ; 0.0899949
1261.00 ; 0.0839010
1261.50 ; 0.0754097
1262.00 ; 0.0652499
1262.50 ; 0.0550900
1263.00 ; 0.0468349
1263.50 ; 0.0397177
1264.00 ; 0.0326006
1264.50 ; 0.0282164
1265.00 ; 0.0260655
1265.50 ; 0.0239147
1266.00 ; 0.0225594
1266.50 ; 0.0218156
1267.00 ; 0.0210718
1267.50 ; 0.0200099
1268.00 ; 0.0187054
1268.50 ; 0.0174009
1269.00 ; 0.0155298
1269.50 ; 0.0132039
1270.00 ; 0.0108780
1270.50 ; 0.00922461










