Wavelength;Response
451.000 ; 0.00807603
451.500 ; 0.0111604
452.000 ; 0.0165765
452.500 ; 0.0236239
453.000 ; 0.0381525
453.500 ; 0.0570979
454.000 ; 0.0906235
454.500 ; 0.133582
455.000 ; 0.196623
455.500 ; 0.274090
456.000 ; 0.369019
456.500 ; 0.474990
457.000 ; 0.581103
457.500 ; 0.687314
458.000 ; 0.779611
458.500 ; 0.863645
459.000 ; 0.922288
459.500 ; 0.965169
460.000 ; 0.987308
460.500 ; 0.996562
461.000 ; 0.989436
461.500 ; 0.972625
462.000 ; 0.953183
462.500 ; 0.931973
463.000 ; 0.914225
463.500 ; 0.898957
464.000 ; 0.891578
464.500 ; 0.889888
465.000 ; 0.889635
465.500 ; 0.890368
466.000 ; 0.893136
466.500 ; 0.897170
467.000 ; 0.903063
467.500 ; 0.910215
468.000 ; 0.922037
468.500 ; 0.937206
469.000 ; 0.950335
469.500 ; 0.962244
470.000 ; 0.967371
470.500 ; 0.968280
471.000 ; 0.961183
471.500 ; 0.948840
472.000 ; 0.926067
472.500 ; 0.895902
473.000 ; 0.851878
473.500 ; 0.799009
474.000 ; 0.736231
474.500 ; 0.667498
475.000 ; 0.588121
475.500 ; 0.502396
476.000 ; 0.418250
476.500 ; 0.335093
477.000 ; 0.260546
477.500 ; 0.191996
478.000 ; 0.138231
478.500 ; 0.0940553
479.000 ; 0.0633895
479.500 ; 0.0412606
480.000 ; 0.0269478
480.500 ; 0.0176324
481.000 ; 0.0117335
481.500 ; 0.00810850









