WAVELENGTH;SOLAR_IRRADIANCE
0.895000;952.870000
0.897500;947.930000
0.900000;942.990000
0.902500;937.990000
0.905000;933.000000
0.907500;928.000000
0.910000;923.000000
0.912500;918.180000
0.915000;913.370000
0.917500;908.740000
0.920000;904.110000
0.922500;899.050000
0.925000;893.990000
0.927500;889.180000
0.930000;884.370000
0.932500;879.740000
0.935000;875.120000
0.937500;870.240000
0.940000;865.360000
0.942500;860.940000
0.945000;856.530000
0.947500;852.020000
0.950000;847.500000
0.952500;843.000000
0.955000;838.500000
0.957500;833.990000
0.960000;829.490000
0.962500;824.980000
0.965000;820.480000
0.967500;815.990000
0.970000;811.500000
0.972500;806.990000
0.975000;802.490000
0.977500;798.170000
0.980000;793.860000
0.982500;789.740000
0.985000;785.630000
0.987500;781.250000
0.990000;776.870000
0.992500;772.920000
0.995000;768.980000
0.997500;764.800000
1.000000;760.630000
1.002500;756.060000
1.005000;751.490000
1.007500;746.990000
1.010000;742.490000
1.012500;738.180000
1.015000;733.880000
1.017500;729.760000
1.020000;725.630000
1.022500;721.240000
1.025000;716.860000
1.027500;712.920000
1.030000;708.990000
1.032500;704.810000
1.035000;700.630000
1.037500;696.250000
1.040000;691.870000
1.042500;687.940000
1.045000;684.010000
1.047500;680.010000
1.050000;676.000000
1.052500;671.800000
1.055000;667.610000
1.057500;663.230000
1.060000;658.860000
1.062500;655.320000
1.065000;651.770000
1.067500;649.070000
1.070000;646.370000
1.072500;643.740000
1.075000;641.110000
1.077500;638.050000
1.080000;634.990000
1.082500;632.180000
1.085000;629.370000
1.087500;626.740000
1.090000;624.120000
1.092500;621.060000
1.095000;618.000000
1.097500;615.180000
1.100000;612.370000
1.102500;609.920000
1.105000;607.480000
1.107500;604.790000
1.110000;602.110000
1.112500;599.240000
1.115000;596.380000
1.117500;593.930000
1.120000;591.480000
1.122500;588.790000
1.125000;586.110000
1.127500;583.250000
1.130000;580.400000
1.132500;577.940000
1.135000;575.480000
1.137500;572.990000
1.140000;570.510000
1.142500;568.000000
1.145000;565.490000
1.147500;562.980000
1.150000;560.470000
1.152500;557.980000
1.155000;555.500000
1.157500;553.010000
1.160000;550.510000
1.162500;548.000000
1.165000;545.490000
1.167500;542.980000
1.170000;540.480000
1.172500;537.980000
1.175000;535.490000
1.177500;533.190000
1.180000;530.900000
1.182500;528.940000
1.185000;526.990000
1.187500;524.800000
1.190000;522.620000
1.192500;520.240000
1.195000;517.870000
1.197500;515.440000
1.200000;513.010000
1.202500;509.590000
1.205000;506.170000
1.207500;502.890000
1.210000;499.620000
1.212500;496.350000
1.215000;493.090000
1.217500;489.810000
1.220000;486.540000
1.222500;483.270000
1.225000;480.010000
1.227500;476.730000
1.230000;473.460000
1.232500;470.190000
1.235000;466.920000
1.237500;463.640000
1.240000;460.370000
1.242500;457.100000
1.245000;453.840000
1.247500;450.570000
1.250000;447.300000
1.252500;444.030000
1.255000;440.760000
1.257500;437.480000
