Wavelength;Response
552.4; 0.0000688334
552.5; 0.0001221854
552.6; 0.0002129896
552.7; 0.0003643534
552.8; 0.0006120669
552.9; 0.0010090530
553.0; 0.0016330890
553.1; 0.0025954380
553.2; 0.0040483160
553.3; 0.0062007170
553.4; 0.0093216640
553.5; 0.0137579000
553.6; 0.0199399500
553.7; 0.0283677400
553.8; 0.0396329900
553.9; 0.0543579000
554.0; 0.0732079000
554.1; 0.0968378800
554.2; 0.1257810000
554.3; 0.1604924000
554.4; 0.2011382000
554.5; 0.2476725000
554.6; 0.2997409000
554.7; 0.3565446000
554.8; 0.4170771000
554.9; 0.4798940000
555.0; 0.5434476000
555.1; 0.6060906000
555.2; 0.6660926000
555.3; 0.7220408000
555.4; 0.7726749000
555.5; 0.8172246000
555.6; 0.8553386000
555.7; 0.8870268000
555.8; 0.9127585000
555.9; 0.9332096000
556.0; 0.9492590000
556.1; 0.9618029000
556.2; 0.9716338000
556.3; 0.9794130000
556.4; 0.9855866000
556.5; 0.9904325000
556.6; 0.9940882000
556.7; 0.9966149000
556.8; 0.9980809000
556.9; 0.9986033000
557.0; 0.9983832000
557.1; 0.9976948000
557.2; 0.9968539000
557.3; 0.9961600000
557.4; 0.9958433000
557.5; 0.9960159000
557.6; 0.9966549000
557.7; 0.9976112000
557.8; 0.9986528000
557.9; 0.9995211000
558.0; 1.0000000000
558.1; 0.9999684000
558.2; 0.9994314000
558.3; 0.9985186000
558.4; 0.9974544000
558.5; 0.9964992000
558.6; 0.9958867000
558.7; 0.9957663000
558.8; 0.9961646000
558.9; 0.9969790000
559.0; 0.9980038000
559.1; 0.9989819000
559.2; 0.9996657000
559.3; 0.9998824000
559.4; 0.9995743000
559.5; 0.9988144000
559.6; 0.9977872000
559.7; 0.9967452000
559.8; 0.9959428000
559.9; 0.9955766000
560.0; 0.9957337000
560.1; 0.9963722000
560.2; 0.9973293000
560.3; 0.9983648000
560.4; 0.9992169000
560.5; 0.9996709000
560.6; 0.9996101000
560.7; 0.9990461000
560.8; 0.9981144000
560.9; 0.9970438000
561.0; 0.9960959000
561.1; 0.9955024000
561.2; 0.9954077000
561.3; 0.9958318000
561.4; 0.9966655000
561.5; 0.9976982000
561.6; 0.9986705000
561.7; 0.9993358000
561.8; 0.9995256000
561.9; 0.9991879000
562.0; 0.9984020000
562.1; 0.9973564000
562.2; 0.9963046000
562.3; 0.9954968000
562.4; 0.9951200000
562.5; 0.9952453000
562.6; 0.9958079000
562.7; 0.9966144000
562.8; 0.9973825000
562.9; 0.9977931000
563.0; 0.9975517000
563.1; 0.9964286000
563.2; 0.9942810000
563.3; 0.9910307000
563.4; 0.9866286000
563.5; 0.9809758000
563.6; 0.9738551000
563.7; 0.9648910000
563.8; 0.9534912000
563.9; 0.9389092000
564.0; 0.9202618000
564.1; 0.8966393000
564.2; 0.8672840000
564.3; 0.8316081000
564.4; 0.7894479000
564.5; 0.7409933000
564.6; 0.6868604000
564.7; 0.6281776000
564.8; 0.5662703000
564.9; 0.5028281000
565.0; 0.4395101000
565.1; 0.3779208000
565.2; 0.3196000000
565.3; 0.2656708000
565.4; 0.2170625000
565.5; 0.1742536000
565.6; 0.1374005000
565.7; 0.1064302000
565.8; 0.0809512000
565.9; 0.0604737600
566.0; 0.0443600700
566.1; 0.0319435400
566.2; 0.0225887500
566.3; 0.0156790200
566.4; 0.0106867000
566.5; 0.0071509010
566.6; 0.0046962190
566.7; 0.0030284640
566.8; 0.0019166590
566.9; 0.0011911160
567.0; 0.0007266538
567.1; 0.0004350353
567.2; 0.0002557494
567.3; 0.0001475416
