Wavelength;Response
768.7; 0.0000568009
768.8; 0.0001042309
768.9; 0.0001875096
769.0; 0.0003304661
769.1; 0.0005709632
769.2; 0.0009664487
769.3; 0.0016032030
769.4; 0.0026071510
769.5; 0.0041539130
769.6; 0.0064880350
769.7; 0.0099289390
769.8; 0.0148920400
769.9; 0.0218965600
770.0; 0.0315482400
770.1; 0.0445615800
770.2; 0.0616834400
770.3; 0.0836985300
770.4; 0.1113559000
770.5; 0.1452258000
770.6; 0.1857388000
770.7; 0.2329302000
770.8; 0.2865271000
770.9; 0.3458416000
771.0; 0.4096349000
771.1; 0.4764159000
771.2; 0.5442269000
771.3; 0.6110652000
771.4; 0.6749336000
771.5; 0.7339158000
771.6; 0.7866179000
771.7; 0.8320209000
771.8; 0.8697876000
771.9; 0.9001427000
772.0; 0.9237577000
772.1; 0.9417266000
772.2; 0.9552639000
772.3; 0.9655996000
772.4; 0.9737726000
772.5; 0.9805154000
772.6; 0.9862477000
772.7; 0.9910749000
772.8; 0.9949079000
772.9; 0.9975742000
773.0; 0.9989441000
773.1; 0.9990377000
773.2; 0.9980653000
773.3; 0.9964165000
773.4; 0.9945897000
773.5; 0.9930936000
773.6; 0.9923285000
773.7; 0.9925021000
773.8; 0.9935802000
773.9; 0.9953021000
774.0; 0.9972420000
774.1; 0.9989223000
774.2; 0.9999246000
774.3; 1.0000000000
774.4; 0.9991257000
774.5; 0.9975149000
774.6; 0.9955595000
774.7; 0.9937405000
774.8; 0.9925019000
774.9; 0.9921458000
775.0; 0.9927574000
775.1; 0.9941834000
775.2; 0.9960677000
775.3; 0.9979432000
775.4; 0.9993451000
775.5; 0.9999226000
775.6; 0.9995304000
775.7; 0.9982621000
775.8; 0.9964266000
775.9; 0.9944719000
776.0; 0.9928787000
776.1; 0.9920350000
776.2; 0.9921468000
776.3; 0.9931827000
776.4; 0.9948855000
776.5; 0.9968306000
776.6; 0.9985370000
776.7; 0.9995788000
776.8; 0.9996970000
776.9; 0.9988581000
777.0; 0.9972663000
777.1; 0.9953091000
777.2; 0.9934677000
777.3; 0.9921917000
777.4; 0.9917925000
777.5; 0.9923660000
777.6; 0.9937685000
777.7; 0.9956495000
777.8; 0.9975432000
777.9; 0.9989801000
778.0; 0.9996012000
778.1; 0.9992505000
778.2; 0.9980113000
778.3; 0.9961856000
778.4; 0.9942188000
778.5; 0.9925948000
778.6; 0.9917092000
778.7; 0.9917784000
778.8; 0.9927815000
778.9; 0.9944697000
779.0; 0.9964218000
779.1; 0.9981555000
779.2; 0.9992382000
779.3; 0.9994009000
779.4; 0.9985993000
779.5; 0.9970284000
779.6; 0.9950706000
779.7; 0.9932075000
779.8; 0.9918938000
779.9; 0.9914504000
780.0; 0.9919842000
780.1; 0.9933612000
780.2; 0.9952376000
780.3; 0.9971485000
780.4; 0.9986207000
780.5; 0.9992863000
780.6; 0.9989786000
780.7; 0.9977703000
780.8; 0.9959559000
780.9; 0.9939781000
781.0; 0.9923235000
781.1; 0.9913953000
781.2; 0.9914204000
781.3; 0.9923890000
781.4; 0.9940607000
781.5; 0.9960187000
781.6; 0.9977793000
781.7; 0.9989034000
781.8; 0.9991118000
781.9; 0.9983492000
782.0; 0.9968011000
782.1; 0.9948441000
782.2; 0.9929598000
782.3; 0.9916082000
782.4; 0.9911195000
782.5; 0.9916119000
782.6; 0.9929616000
782.7; 0.9948318000
782.8; 0.9967591000
782.9; 0.9982664000
783.0; 0.9989772000
783.1; 0.9987136000
783.2; 0.9975372000
783.3; 0.9957342000
783.4; 0.9937432000
783.5; 0.9920519000
783.6; 0.9910685000
783.7; 0.9910263000
783.8; 0.9919190000
783.9; 0.9935026000
784.0; 0.9953443000
784.1; 0.9969262000
784.2; 0.9977522000
784.3; 0.9974565000
784.4; 0.9958590000
784.5; 0.9929761000
784.6; 0.9889549000
784.7; 0.9839810000
784.8; 0.9781314000
784.9; 0.9712553000
785.0; 0.9629024000
785.1; 0.9522671000
785.2; 0.9382822000
785.3; 0.9196976000
785.4; 0.8952596000
785.5; 0.8639622000
785.6; 0.8251145000
785.7; 0.7786331000
785.8; 0.7249566000
785.9; 0.6650885000
786.0; 0.6006410000
786.1; 0.5334280000
786.2; 0.4655924000
786.3; 0.3991326000
786.4; 0.3358567000
786.5; 0.2773589000
786.6; 0.2246717000
786.7; 0.1785176000
786.8; 0.1390931000
786.9; 0.1062390000
787.0; 0.0795626900
787.1; 0.0583968700
787.2; 0.0420201800
787.3; 0.0296354500
787.4; 0.0204800700
787.5; 0.0138739200
787.6; 0.0092086790
787.7; 0.0059914810
787.8; 0.0038202980
787.9; 0.0023864590
788.0; 0.0014613340
788.1; 0.0008766391
788.2; 0.0005155089
788.3; 0.0002970715
788.4; 0.0001677026
