Wavelength;Response
657.3; 0.0000537682
657.4; 0.0000975041
657.5; 0.0001734916
657.6; 0.0003026831
657.7; 0.0005181414
657.8; 0.0008697125
657.9; 0.0014319160
658.0; 0.0023131340
658.1; 0.0036641640
658.2; 0.0056949270
658.3; 0.0086798490
658.4; 0.0129769700
658.5; 0.0190361800
658.6; 0.0273867100
658.7; 0.0386598700
658.8; 0.0535275600
658.9; 0.0727123100
659.0; 0.0969293000
659.1; 0.1267663000
659.2; 0.1627212000
659.3; 0.2049762000
659.4; 0.2534694000
659.5; 0.3077899000
659.6; 0.3670338000
659.7; 0.4300532000
659.8; 0.4952254000
659.9; 0.5608141000
660.0; 0.6249909000
660.1; 0.6858737000
660.2; 0.7419565000
660.3; 0.7919572000
660.4; 0.8351638000
660.5; 0.8713569000
660.6; 0.9007405000
660.7; 0.9240048000
660.8; 0.9420512000
660.9; 0.9559469000
661.0; 0.9667177000
661.1; 0.9752141000
661.2; 0.9820763000
661.3; 0.9876694000
661.4; 0.9921500000
661.5; 0.9955263000
661.6; 0.9977513000
661.7; 0.9988273000
661.8; 0.9988603000
661.9; 0.9980904000
662.0; 0.9968672000
662.1; 0.9955949000
662.2; 0.9946479000
662.3; 0.9942968000
662.4; 0.9946465000
662.5; 0.9956198000
662.6; 0.9969771000
662.7; 0.9983823000
662.8; 0.9994821000
662.9; 1.0000000000
663.0; 0.9998014000
663.1; 0.9989291000
663.2; 0.9975914000
663.3; 0.9961141000
663.4; 0.9948557000
663.5; 0.9941209000
663.6; 0.9940862000
663.7; 0.9947540000
663.8; 0.9959524000
663.9; 0.9973787000
664.0; 0.9986743000
664.1; 0.9995105000
664.2; 0.9996743000
664.3; 0.9991181000
664.4; 0.9979728000
664.5; 0.9965140000
664.6; 0.9950977000
664.7; 0.9940667000
664.8; 0.9936709000
664.9; 0.9940015000
665.0; 0.9949713000
665.1; 0.9963332000
665.2; 0.9977450000
665.3; 0.9988493000
665.4; 0.9993671000
665.5; 0.9991629000
665.6; 0.9982808000
665.7; 0.9969310000
665.8; 0.9954426000
665.9; 0.9941764000
666.0; 0.9934391000
666.1; 0.9934080000
666.2; 0.9940846000
666.3; 0.9952946000
666.4; 0.9967327000
666.5; 0.9980373000
666.6; 0.9988775000
666.7; 0.9990392000
666.8; 0.9984748000
666.9; 0.9973167000
667.0; 0.9958423000
667.1; 0.9944090000
667.2; 0.9933593000
667.3; 0.9929399000
667.4; 0.9932340000
667.5; 0.9941401000
667.6; 0.9953880000
667.7; 0.9966001000
667.8; 0.9973671000
667.9; 0.9973344000
668.0; 0.9962591000
668.1; 0.9940360000
668.2; 0.9906692000
668.3; 0.9862165000
668.4; 0.9806842000
668.5; 0.9739308000
668.6; 0.9656038000
668.7; 0.9550707000
668.8; 0.9414798000
668.9; 0.9237959000
669.0; 0.9009338000
669.1; 0.8719666000
669.2; 0.8361761000
669.3; 0.7933295000
669.4; 0.7436217000
669.5; 0.6877470000
669.6; 0.6269780000
669.7; 0.5628209000
669.8; 0.4971659000
669.9; 0.4318566000
670.0; 0.3686478000
670.1; 0.3091832000
670.2; 0.2546299000
670.3; 0.2059089000
670.4; 0.1634439000
670.5; 0.1273051000
670.6; 0.0973146800
670.7; 0.0729754100
670.8; 0.0536976500
670.9; 0.0387624500
671.0; 0.0274427100
671.1; 0.0190619500
671.2; 0.0129844800
671.3; 0.0086774240
671.4; 0.0056879780
671.5; 0.0036559420
671.6; 0.0023053860
671.7; 0.0014254170
671.8; 0.0008646613
671.9; 0.0005144321
672.0; 0.0003000825
672.1; 0.0001717386


