Wavelength;Response
834.274; 0.00092
834.533; 0.00097
834.792; 0.00101
835.052; 0.00103
835.311; 0.00111
835.57; 0.00125
835.83; 0.00134
836.089; 0.00149
836.348; 0.00153
836.608; 0.00164
836.867; 0.00166
837.126; 0.00182
837.386; 0.00205
837.645; 0.00208
837.905; 0.00219
838.164; 0.00235
838.423; 0.00244
838.683; 0.00279
838.942; 0.003
839.201; 0.00319
839.461; 0.00335
839.72; 0.0035
839.979; 0.0038
840.239; 0.00423
840.498; 0.00458
840.757; 0.00488
841.017; 0.00527
841.276; 0.00563
841.535; 0.00611
841.795; 0.00661
842.054; 0.00729
842.313; 0.0078
842.573; 0.00844
842.832; 0.00907
843.092; 0.00998
843.351; 0.01105
843.61; 0.01198
843.87; 0.0131
844.129; 0.01425
844.388; 0.01577
844.648; 0.01721
844.907; 0.01888
845.166; 0.02089
845.426; 0.02324
845.685; 0.02585
845.944; 0.02856
846.204; 0.03184
846.463; 0.03579
846.722; 0.03994
846.982; 0.04485
847.241; 0.05043
847.5; 0.05726
847.76; 0.06518
848.019; 0.0741
848.279; 0.08408
848.538; 0.09591
848.797; 0.10951
849.057; 0.12488
849.316; 0.14182
849.575; 0.16092
849.835; 0.18299
850.094; 0.20971
850.353; 0.23809
850.613; 0.27049
850.872; 0.30613
851.131; 0.34426
851.391; 0.38585
851.65; 0.43182
851.909; 0.47719
852.169; 0.52326
852.428; 0.57208
852.687; 0.61951
852.947; 0.66247
853.206; 0.70792
853.466; 0.75085
853.725; 0.79029
853.984; 0.83135
854.244; 0.86875
854.503; 0.89242
854.762; 0.92018
855.022; 0.94016
855.281; 0.94893
855.54; 0.95445
855.8; 0.95825
856.059; 0.95716
856.318; 0.95313
856.578; 0.94532
856.837; 0.93834
857.096; 0.92823
857.356; 0.92095
857.615; 0.91082
857.874; 0.89836
858.134; 0.89337
858.393; 0.88466
858.653; 0.87639
858.912; 0.87264
859.171; 0.86813
859.431; 0.86265
859.69; 0.85794
859.949; 0.86013
860.209; 0.86102
860.468; 0.85899
860.727; 0.86062
860.987; 0.86461
861.246; 0.86792
861.505; 0.87355
861.765; 0.879
862.024; 0.88338
862.283; 0.89123
862.543; 0.89767
862.802; 0.9077
863.061; 0.915
863.321; 0.92185
863.58; 0.93279
863.84; 0.94239
864.099; 0.95215
864.358; 0.96235
864.618; 0.97048
864.877; 0.98116
865.136; 0.98873
865.396; 0.9922
865.655; 0.99393
865.914; 0.99749
866.174; 0.99783
866.433; 1
866.692; 0.9942
866.952; 0.99329
867.211; 0.98929
867.47; 0.97812
867.73; 0.96401
867.989; 0.95227
868.248; 0.93624
868.508; 0.92097
868.767; 0.90245
869.027; 0.88199
869.286; 0.85687
869.545; 0.8295
869.805; 0.80426
870.064; 0.77541
870.323; 0.74381
870.583; 0.71035
870.842; 0.67546
871.101; 0.64194
871.361; 0.60493
871.62; 0.57224
871.879; 0.53843
872.139; 0.50456
872.398; 0.46906
872.657; 0.43539
872.917; 0.40388
873.176; 0.37146
873.435; 0.34066
873.695; 0.31402
873.954; 0.28727
874.214; 0.26452
874.473; 0.24412
874.732; 0.22416
874.992; 0.20374
875.251; 0.18577
875.51; 0.17016
875.77; 0.15676
876.029; 0.14393
876.288; 0.13177
876.548; 0.11983
876.807; 0.10903
877.066; 0.10047
877.326; 0.0935
877.585; 0.08614
877.844; 0.07913
878.104; 0.07357
878.363; 0.06854
878.622; 0.0633
878.882; 0.0589
879.141; 0.05524
879.401; 0.05102
879.66; 0.04648
879.919; 0.04336
880.179; 0.04087
880.438; 0.03756
880.697; 0.03453
880.957; 0.03265
881.216; 0.03065
881.475; 0.02795
881.735; 0.02632
881.994; 0.02499
882.253; 0.0231
882.513; 0.02155
882.772; 0.02065
883.031; 0.01914
883.291; 0.01765
883.55; 0.01677
883.809; 0.01586
884.069; 0.01457
884.328; 0.01385
884.588; 0.01318
884.847; 0.01223
885.106; 0.0113
885.366; 0.01074
885.625; 0.01021
885.884; 0.00952
886.144; 0.00897
886.403; 0.00865
886.662; 0.008
886.922; 0.00728
887.181; 0.007
887.44; 0.00674
887.7; 0.00629
887.959; 0.00598
888.218; 0.00565
888.478; 0.00525
888.737; 0.00491
888.996; 0.00465
889.256; 0.00431
889.515; 0.00415
889.775; 0.00385
890.034; 0.00363
890.293; 0.00335
890.553; 0.00307
890.812; 0.00292
891.071; 0.00272
891.331; 0.00264
891.59; 0.00241
891.849; 0.00225
892.109; 0.00215
892.368; 0.00199
892.627; 0.00194
892.887; 0.0018
893.146; 0.00163
893.405; 0.0015
893.665; 0.0014
893.924; 0.00135
894.183; 0.00123
894.443; 0.00111
894.702; 0.00106
894.962; 0.00098
895.221; 0.00095
895.48; 0.00087
895.74; 0.0008
895.999; 0.00077
896.258; 0.00075
896.518; 0.00056
896.777; 0.00053
897.036; 0.00038
897.296; 0.00039
897.555; 0.00033
897.814; 0.00031
898.074; 0.00026
898.333; 0.00025
898.592; 0.00023
898.852; 0.00016
899.111; 0.00013
899.37; 0.00017
899.63; 0.0001
899.889; 0.00001
900.149; 0
